epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
66,28146.8,1.38858,0.64054,0.93702,0.86844,0.6599,0.72953,0.40046,1.34911,0.57077,0.96801,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,28557.2,1.37747,0.63291,0.93618,0.86948,0.65899,0.72953,0.40088,1.34918,0.57025,0.96812,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,28969.3,1.37491,0.63041,0.93531,0.87049,0.65994,0.73014,0.40102,1.3489,0.57007,0.96816,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,29385,1.36961,0.62729,0.93488,0.86904,0.66169,0.73031,0.40128,1.34914,0.56985,0.96838,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,29795.8,1.36652,0.62518,0.93203,0.86951,0.66208,0.73051,0.40128,1.34965,0.56963,0.96842,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,30209.9,1.36216,0.6256,0.93229,0.86859,0.66373,0.73091,0.40136,1.34989,0.56964,0.96843,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,30621.8,1.36315,0.62498,0.93038,0.86986,0.66304,0.73099,0.40146,1.35033,0.56976,0.96885,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,31033.5,1.34478,0.61465,0.92879,0.87077,0.66245,0.73104,0.40153,1.35081,0.56997,0.96901,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,31447.2,1.35911,0.62204,0.92786,0.86807,0.6637,0.73084,0.40151,1.35123,0.56969,0.96914,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,31858.4,1.35578,0.61857,0.9255,0.86873,0.66298,0.73079,0.40155,1.35129,0.56965,0.96902,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32270.4,1.36422,0.61844,0.92578,0.86831,0.66321,0.73068,0.40146,1.35145,0.56943,0.96897,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32683.5,1.35219,0.61291,0.92386,0.86916,0.66352,0.7312,0.40165,1.35157,0.56903,0.96888,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,33092.7,1.33574,0.60588,0.92345,0.87009,0.66385,0.73166,0.40187,1.35172,0.56891,0.96905,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33505.3,1.34223,0.61044,0.92607,0.8696,0.66408,0.73175,0.40203,1.35172,0.56863,0.969,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33937.3,1.3321,0.60263,0.92389,0.86955,0.66401,0.73171,0.40197,1.35199,0.56841,0.96895,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,34363.6,1.31852,0.59484,0.92001,0.86828,0.66485,0.73185,0.40204,1.35219,0.56831,0.96876,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,34777.3,1.33068,0.59866,0.91682,0.86809,0.66523,0.732,0.40182,1.35225,0.56822,0.96881,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,35192.5,1.32107,0.59659,0.91826,0.86901,0.6647,0.73184,0.40168,1.35237,0.56818,0.9689,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35612,1.325,0.59787,0.91612,0.86721,0.66576,0.73225,0.4019,1.35279,0.56799,0.96908,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,36036.1,1.32673,0.5969,0.91518,0.86842,0.66539,0.73227,0.40185,1.35332,0.56782,0.9693,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36456.9,1.31329,0.59034,0.91857,0.86886,0.66495,0.73236,0.40173,1.35354,0.56809,0.96948,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36874.2,1.31916,0.5945,0.91417,0.86878,0.66496,0.73241,0.40187,1.3535,0.56794,0.9696,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37298.2,1.31153,0.58986,0.91575,0.86908,0.66503,0.73215,0.40183,1.35365,0.56776,0.9697,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37711.9,1.30345,0.58346,0.91394,0.87029,0.66456,0.73229,0.40181,1.3537,0.56765,0.96981,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,38133,1.30647,0.58442,0.90962,0.87061,0.66398,0.73238,0.40189,1.35414,0.56762,0.96994,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
